Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1nF,C100040
"C3, C6",0805,2,10uF,C307520
"C4, C5, C7",0402,3,10nF,C327025
C8,CP_Elec_8x10,1,"1000uF, 6.3V",C49256842
"D1, D2, D3",D_SOD-323F,3,BAT54J,C130415
L1,0805,1,22uH,C383411
"Q1, Q2",SOT-23,2,BC847,C2138
"Q3, Q4",SOT-23,2,2N7002,C8545
Q5,SOT-23,1,AO3401A,C15127
"R1, R4",0603,2,1kR,C22548
R10,0402,1,6.8 MR,C477775
R11,0402,1,5.1 MR,C477747
"R12, R13, R14, R15, R16, R17",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,R,
"R2, R3",0603,2,170kR,C22890
"R5, R6",0402,2,5.11 MR,C477744
R7,0402,1,6.2 MR,C477768
R8,0402,1,7.5 MR,C327241
R9,0402,1,1.5 MR,C138034
"TP1, TP2",PinSocket_2x01_P2.54mm_Vertical,2,TestPoint_2Pole,C492401
U1,BUZ-SMD_L11.0-W9.0,1,GSC1102YB-3V4000,C255332
"U2, U3",SENSOR-SMD_L4.4-W3.9,2,VBPW34S,C145262
U4,QFN50P350X350X100-21N-D,1,BQ25505RGRT,C2876730
