Designator,Mid X,Mid Y,Rotation,Layer
C1,16.9375,0.4,180.0,top
C2,11.575,0.5,180.0,top
C3,-5.1,0.690001,90.0,top
C4,-7.8,1.290001,90.0,top
C5,-12.02,-3.2,180.0,top
C6,-11.1,-6.2,270.0,top
C7,-10.5,-3.7,270.0,top
C8,-19.1,-0.009999,0.0,top
D1,-25.7,0.1,270.0,top
D2,-13.1,-6.2,270.0,top
D3,-13.1,6.1,90.0,top
L1,-8.2,-3.309999,180.0,top
Q1,11.2375,3.6,0.0,top
Q2,16.6375,3.4,90.0,top
Q3,7.1375,1.5,0.0,top
Q4,-8.7,-7.8,90.0,top
Q5,-5.100001,-7.8,90.0,top
R1,18.3375,-2.6,90.0,top
R10,-11.67,4.7,90.0,top
R11,-13.6,2.7,90.0,top
R2,15.8375,-2.6,90.0,top
R3,12.8375,-2.6,90.0,top
R4,10.8375,-2.6,90.0,top
R5,-7.1,-0.3,180.0,top
R6,-6.7,1.290001,90.0,top
R7,-5.7,4.7,90.0,top
R8,-7.69,4.7,90.0,top
R9,-9.68,4.7,90.0,top
TP1,-17.17,6.2,180.0,top
TP2,-17.1,-6.2,180.0,top
U1,0.4375,0.0,90.0,top
U4,-10.7,-0.009999,180.0,top
